Id,Value,Date
Sistema,0.74846,2003-01-01
Sistema,0.74711,2003-01-02
Sistema,0.74247,2003-01-03
Sistema,0.73896,2003-01-04
Sistema,0.73593,2003-01-05
Sistema,0.73309,2003-01-06
Sistema,0.72925,2003-01-07
Sistema,0.72542,2003-01-08
Sistema,0.72162,2003-01-09
Sistema,0.71752,2003-01-10
Sistema,0.71361,2003-01-11
Sistema,0.70998,2003-01-12
Sistema,0.70549,2003-01-13
Sistema,0.70133,2003-01-14
Sistema,0.69699,2003-01-15
Sistema,0.69242,2003-01-16
Sistema,0.68779,2003-01-17
Sistema,0.68404,2003-01-18
Sistema,0.68126,2003-01-19
Sistema,0.67803,2003-01-20
Sistema,0.67384,2003-01-21
Sistema,0.66929,2003-01-22
Sistema,0.66473,2003-01-23
Sistema,0.66018,2003-01-24
Sistema,0.65511,2003-01-25
Sistema,0.65182,2003-01-26
Sistema,0.64741,2003-01-27
Sistema,0.64308,2003-01-28
Sistema,0.6382,2003-01-29
Sistema,0.63366,2003-01-30
Sistema,0.62896,2003-01-31
Sistema,0.62401,2003-02-01
Sistema,0.62123,2003-02-02
Sistema,0.61655,2003-02-03
Sistema,0.61182,2003-02-04
Sistema,0.60694,2003-02-05
Sistema,0.60355,2003-02-06
Sistema,0.59925,2003-02-07
Sistema,0.59741,2003-02-08
Sistema,0.59489,2003-02-09
Sistema,0.59187,2003-02-10
Sistema,0.58795,2003-02-11
Sistema,0.58287,2003-02-12
Sistema,0.57869,2003-02-13
Sistema,0.5749,2003-02-14
Sistema,0.5715,2003-02-15
Sistema,0.56819,2003-02-16
Sistema,0.56475,2003-02-17
Sistema,0.56108,2003-02-18
Sistema,0.55618,2003-02-19
Sistema,0.5511,2003-02-20
Sistema,0.54561,2003-02-21
Sistema,0.54019,2003-02-22
Sistema,0.53597,2003-02-23
Sistema,0.53081,2003-02-24
Sistema,0.52586,2003-02-25
Sistema,0.52315,2003-02-26
Sistema,0.51889,2003-02-27
Sistema,0.51483,2003-02-28
Sistema,0.51126,2003-03-01
Sistema,0.50819,2003-03-02
Sistema,0.50424,2003-03-03
Sistema,0.49941,2003-03-04
Sistema,0.49463,2003-03-05
Sistema,0.48942,2003-03-06
Sistema,0.48456,2003-03-07
Sistema,0.47984,2003-03-08
Sistema,0.47542,2003-03-09
Sistema,0.47041,2003-03-10
Sistema,0.46533,2003-03-11
Sistema,0.45957,2003-03-12
Sistema,0.45502,2003-03-13
Sistema,0.451,2003-03-14
Sistema,0.44758,2003-03-15
Sistema,0.44493,2003-03-16
Sistema,0.44218,2003-03-17
Sistema,0.44032,2003-03-18
Sistema,0.43882,2003-03-19
Sistema,0.43671,2003-03-20
Sistema,0.43565,2003-03-21
Sistema,0.43477,2003-03-22
Sistema,0.43422,2003-03-23
Sistema,0.43325,2003-03-24
Sistema,0.43035,2003-03-25
Sistema,0.42879,2003-03-26
Sistema,0.42748,2003-03-27
Sistema,0.42787,2003-03-28
Sistema,0.43011,2003-03-29
Sistema,0.43058,2003-03-30
Sistema,0.42801,2003-03-31
Sistema,0.42579,2003-04-01
Sistema,0.42249,2003-04-02
Sistema,0.41831,2003-04-03
Sistema,0.41723,2003-04-04
Sistema,0.41539,2003-04-05
Sistema,0.41448,2003-04-06
Sistema,0.41069,2003-04-07
Sistema,0.40635,2003-04-08
Sistema,0.40228,2003-04-09
Sistema,0.39924,2003-04-10
Sistema,0.3964,2003-04-11
Sistema,0.39804,2003-04-12
Sistema,0.40205,2003-04-13
Sistema,0.40966,2003-04-14
Sistema,0.41873,2003-04-15
Sistema,0.42253,2003-04-16
Sistema,0.42507,2003-04-17
Sistema,0.42719,2003-04-18
Sistema,0.4299,2003-04-19
Sistema,0.43161,2003-04-20
Sistema,0.43366,2003-04-21
Sistema,0.43622,2003-04-22
Sistema,0.44108,2003-04-23
Sistema,0.43988,2003-04-24
Sistema,0.44158,2003-04-25
Sistema,0.44248,2003-04-26
Sistema,0.44913,2003-04-27
Sistema,0.45079,2003-04-28
Sistema,0.45237,2003-04-29
Sistema,0.45155,2003-04-30
Sistema,0.45289,2003-05-01
Sistema,0.45118,2003-05-02
Sistema,0.45048,2003-05-03
Sistema,0.45141,2003-05-04
Sistema,0.4509,2003-05-05
Sistema,0.44997,2003-05-06
Sistema,0.45067,2003-05-07
Sistema,0.4512,2003-05-08
Sistema,0.45554,2003-05-09
Sistema,0.45878,2003-05-10
Sistema,0.46378,2003-05-11
Sistema,0.46945,2003-05-12
Sistema,0.48021,2003-05-13
Sistema,0.48589,2003-05-14
Sistema,0.49098,2003-05-15
Sistema,0.49567,2003-05-16
Sistema,0.50093,2003-05-17
Sistema,0.51849,2003-05-18
Sistema,0.52766,2003-05-19
Sistema,0.53265,2003-05-20
Sistema,0.53622,2003-05-21
Sistema,0.53959,2003-05-22
Sistema,0.54197,2003-05-23
Sistema,0.54638,2003-05-24
Sistema,0.55382,2003-05-25
Sistema,0.55678,2003-05-26
Sistema,0.55786,2003-05-27
Sistema,0.55829,2003-05-28
Sistema,0.55919,2003-05-29
Sistema,0.56334,2003-05-30
Sistema,0.56521,2003-05-31
Sistema,0.56666,2003-06-01
Sistema,0.56896,2003-06-02
Sistema,0.57029,2003-06-03
Sistema,0.57057,2003-06-04
Sistema,0.57124,2003-06-05
Sistema,0.57275,2003-06-06
Sistema,0.57669,2003-06-07
Sistema,0.57779,2003-06-08
Sistema,0.57732,2003-06-09
Sistema,0.57559,2003-06-10
Sistema,0.57865,2003-06-11
Sistema,0.58049,2003-06-12
Sistema,0.58636,2003-06-13
Sistema,0.5913,2003-06-14
Sistema,0.59852,2003-06-15
Sistema,0.60059,2003-06-16
Sistema,0.60403,2003-06-17
Sistema,0.61112,2003-06-18
Sistema,0.61696,2003-06-19
Sistema,0.62048,2003-06-20
Sistema,0.6264,2003-06-21
Sistema,0.63355,2003-06-22
Sistema,0.63729,2003-06-23
Sistema,0.64127,2003-06-24
Sistema,0.64623,2003-06-25
Sistema,0.64719,2003-06-26
Sistema,0.64946,2003-06-27
Sistema,0.65057,2003-06-28
Sistema,0.65357,2003-06-29
Sistema,0.65628,2003-06-30
Sistema,0.65872,2003-07-01
Sistema,0.65852,2003-07-02
Sistema,0.65723,2003-07-03
Sistema,0.65666,2003-07-04
Sistema,0.65717,2003-07-05
Sistema,0.65883,2003-07-06
Sistema,0.65856,2003-07-07
Sistema,0.65825,2003-07-08
Sistema,0.66002,2003-07-09
Sistema,0.65996,2003-07-10
Sistema,0.66469,2003-07-11
Sistema,0.66713,2003-07-12
Sistema,0.67209,2003-07-13
Sistema,0.6738,2003-07-14
Sistema,0.6731,2003-07-15
Sistema,0.6724,2003-07-16
Sistema,0.67478,2003-07-17
Sistema,0.67593,2003-07-18
Sistema,0.67581,2003-07-19
Sistema,0.67672,2003-07-20
Sistema,0.67808,2003-07-21
Sistema,0.68139,2003-07-22
Sistema,0.68376,2003-07-23
Sistema,0.68528,2003-07-24
Sistema,0.68772,2003-07-25
Sistema,0.6924,2003-07-26
Sistema,0.6992,2003-07-27
Sistema,0.70148,2003-07-28
Sistema,0.70164,2003-07-29
Sistema,0.70561,2003-07-30
Sistema,0.71146,2003-07-31
Sistema,0.71616,2003-08-01
Sistema,0.72059,2003-08-02
Sistema,0.72972,2003-08-03
Sistema,0.73132,2003-08-04
Sistema,0.73118,2003-08-05
Sistema,0.73006,2003-08-06
Sistema,0.72991,2003-08-07
Sistema,0.72995,2003-08-08
Sistema,0.7294,2003-08-09
Sistema,0.72886,2003-08-10
Sistema,0.73063,2003-08-11
Sistema,0.72808,2003-08-12
Sistema,0.72802,2003-08-13
Sistema,0.72842,2003-08-14
Sistema,0.72866,2003-08-15
Sistema,0.72766,2003-08-16
Sistema,0.72872,2003-08-17
Sistema,0.72837,2003-08-18
Sistema,0.72768,2003-08-19
