Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,46.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,2000-01-01
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,32.28479,32.28479,32.28479,2000-01-02
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,47.98479,50.28479,50.28479,39.28479,32.28479,32.28479,32.28479,32.28479,50.28479,50.28479,39.28479,50.28479,32.28479,32.28479,2000-01-03
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,32.28479,32.28479,50.28479,50.28479,50.28479,50.28479,50.28479,41.28479,41.28479,41.28479,47.98479,32.28479,50.28479,50.28479,50.28479,50.28479,39.28479,32.28479,2000-01-04
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,41.28479,39.28479,49.28479,32.28479,32.28479,32.28479,50.28479,49.28479,47.98479,41.28479,47.98479,32.28479,48.48479,50.28479,32.28479,49.28479,51.28479,46.28479,2000-01-05
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,46.28479,32.28479,32.28479,32.28479,41.28479,48.28479,41.28479,32.28479,32.28479,32.28479,32.28479,32.28479,48.78479,48.78479,32.28479,32.28479,32.28479,46.28479,2000-01-06
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,39.28479,39.28479,46.28479,46.28479,46.28479,41.28479,39.28479,39.28479,39.28479,32.28479,46.28479,46.28479,46.28479,39.28479,46.28479,32.28479,2000-01-07
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,2000-01-08
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,2000-01-09
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,2000-01-10
