Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,daily_sum_kWh
Sistema,Sistema,5609982.23,5299387.09,4922337.76,4640952.55,4443431.2,4280072.11,3828774.82,3832979.13,4020001.38,4198831.71,4396208.08,4528556.29,4572978.54,4526065.17,4458131.14,4392140.29,4366427.63,4606016.29,6021430.06,6527391.35,6263172.04,5779281.34,5212138.25,4714247.65,2010-01-01,115440934.10000002
Sistema,Sistema,4445348.51,4238116.21,4154887.32,4103709.79,4153986.6,4252501.43,4186498.45,4480615.46,4951719.87,5270274.03,5552354.02,5701345.88,5767014.0,5641557.94,5475017.37,5397357.88,5318190.02,5484348.49,6895377.37,7356107.9,7110891.37,6612818.22,5934135.44,5214100.6,2010-01-02,127698274.16999999
Sistema,Sistema,4772268.38,4520104.69,4365723.51,4211679.57,4205364.41,4312551.86,4156670.92,4333251.97,4635686.21,4931439.83,5095925.04,5263104.18,5343745.62,5232577.92,5090175.42,5016125.95,4981354.24,5169667.2,6637669.36,7126930.3,6927793.22,6433970.64,5753971.2,5137059.49,2010-01-03,123654811.12999998
Sistema,Sistema,4705845.03,4493923.68,4400230.86,4396643.54,4475996.61,4778560.19,4912357.2,5323877.68,5917165.49,6311427.96,6674770.89,6873703.76,6765779.88,6666437.57,6702923.38,6618343.03,6458778.34,6529860.5,7819390.86,8232402.15,7884258.05,7197982.57,6288573.58,5535400.79,2010-01-04,145964633.59
Sistema,Sistema,5171964.92,4939629.25,4840107.6,4774763.87,4949684.01,5195571.83,5362721.47,5742326.06,6246587.25,6557155.76,6852773.05,7041490.02,6916937.39,6813050.32,6854886.19,6778398.35,6715045.2,6745497.24,8023899.14,8336888.23,7929022.67,7243496.48,6378988.75,5737144.04,2010-01-05,152148029.08999997
Sistema,Sistema,5271617.95,5027729.55,4918785.87,4832807.83,4968429.58,5262308.72,5411086.86,5850415.51,6351126.66,6646782.91,6918754.64,7080464.67,6948070.55,6860543.92,6903542.18,6858444.14,6760353.98,6748966.74,7901642.79,8228391.43,7865853.45,7270634.95,6383130.54,5656341.34,2010-01-06,152926226.76000002
Sistema,Sistema,5154518.02,4954293.45,4833363.4,4816845.04,4921041.29,5190588.6,5347919.42,5765163.63,6288853.9,6549224.55,6828621.74,7031596.84,6888731.39,6842253.85,6881571.05,6868072.68,6788054.32,6841945.69,7977102.23,8210422.66,7798639.37,7207277.03,6343120.49,5721837.95,2010-01-07,152051058.58999997
Sistema,Sistema,5303793.41,5051488.49,4918293.48,4910551.44,5034315.3,5298870.27,5501421.67,5944622.78,6376684.25,6665476.38,6974136.13,7173336.06,7045369.3,6896742.13,6921798.65,6940815.76,6773999.76,6852733.91,7891858.06,8144145.09,7760804.65,7185150.39,6474687.59,5763170.88,2010-01-08,153804265.83
Sistema,Sistema,5378758.42,5104408.33,4947728.45,4890626.98,5001068.1,5187090.09,5238822.12,5560888.84,6042590.38,6336093.7,6582096.08,6710456.36,6693763.44,6465858.66,6273483.19,6162314.74,6074837.05,6219155.79,7500934.0,7831935.6,7501329.28,6889466.21,6252566.32,5650845.06,2010-01-09,146497117.19
Sistema,Sistema,5144760.39,4918884.22,4744250.74,4639845.65,4679119.13,4693832.75,4500197.28,4682001.1,4964578.57,5217570.03,5420061.31,5542493.62,5590865.95,5445802.85,5358354.05,5245949.07,5226423.95,5421454.33,6726359.3,7119941.6,6871813.17,6428299.29,5855452.01,5324387.73,2010-01-10,129762698.09000002
