year,generacion_GWh
2000,41278.09603334001
2001,43047.722824799996
2002,44735.127478730006
2003,46734.19611421
2004,48561.827946950005
2005,50429.75917802999
2006,52340.04832582
2007,53626.123055070006
2008,54394.997956089996
2009,55965.625802719995
2010,56887.58846999
2011,58620.42794093001
2012,59988.859479019986
2013,62196.5874195
2014,64327.868598730005
2015,66548.47393104
2016,65942.17268603001
2017,66667.09728997
2018,68948.23231497
2019,70114.5984236
2020,69323.55607589
2021,73933.54879605
2022,76908.44907282999
2023,80684.23645385001
2024,83262.92316385
2025,55668.74106293
