Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,4542167.31000,4206137.43000,3769316.05000,3478765.23000,3274013.26000,3177865.62000,2946502.46000,2965149.79000,3158982.77000,3330115.36000,3443449.84000,3496814.60000,3456446.40000,3327786.15000,3158169.98000,3036194.22000,3057215.40000,3415523.50000,4928364.25000,5294480.17000,4974821.80000,4418701.49000,3780597.40000,3286679.08000,2000-01-01
Sistema,Sistema,3007943.72000,2868528.51000,2787270.67000,2772969.33000,2814018.85000,2917304.70000,2974935.60000,3237040.55000,3580278.10000,3780635.18000,3843426.76000,3857549.65000,3859711.16000,3713158.78000,3489042.45000,3359276.54000,3365406.85000,3655770.61000,5296711.85000,5666926.30000,5386962.95000,4892313.33000,4121223.24000,3505301.21000,2000-01-02
Sistema,Sistema,3167619.62000,2994048.87000,2935335.86000,2943552.92000,3115385.66000,3460569.22000,3778164.66000,4161076.44000,4561377.59000,4714025.41000,4889266.88000,5020234.68000,4875046.00000,4607750.57000,4528434.00000,4469788.80000,4527703.73000,4841184.68000,6308041.57000,6555715.82000,6055805.80000,5345116.80000,4372258.28000,3656280.74000,2000-01-03
Sistema,Sistema,3326612.90000,3214936.20000,3130548.89000,3161511.99000,3362202.71000,3749827.50000,4107529.52000,4425911.92000,4756316.86000,4869354.61000,5021965.92000,5168104.20000,4964839.03000,4655952.98000,4590877.41000,4545799.49000,4612521.01000,4919846.02000,6331274.07000,6627046.12000,6157289.96000,5432814.94000,4414909.58000,3659009.26000,2000-01-04
Sistema,Sistema,3330224.74000,3215004.71000,3158247.98000,3184982.30000,3366903.52000,3761281.61000,4117019.23000,4474801.89000,4744555.01000,4873708.90000,5023126.90000,5141975.02000,4991485.79000,4659100.38000,4560408.46000,4542032.80000,4620231.79000,4876840.36000,6311785.28000,6541986.21000,6077357.65000,5402744.89000,4416758.23000,3676699.53000,2000-01-05
Sistema,Sistema,3304822.74000,3203516.43000,3180526.02000,3197051.79000,3371884.79000,3762298.09000,4177258.57000,4493580.33000,4853229.99000,4987450.42000,5127220.51000,5269830.31000,5083153.92000,4777849.89000,4646737.11000,4643848.54000,4703256.89000,4955669.32000,6264609.96000,6524171.55000,6071361.13000,5459557.11000,4457017.61000,3752439.41000,2000-01-06
Sistema,Sistema,3396077.88000,3242241.13000,3192176.69000,3226003.00000,3378713.94000,3719141.05000,4097596.88000,4494298.62000,4854617.11000,4981822.75000,5183444.99000,5323757.12000,5128773.64000,4819899.92000,4727863.14000,4709760.17000,4763915.66000,5034679.57000,6324686.00000,6488325.74000,5933861.26000,5308338.69000,4404959.77000,3724394.06000,2000-01-07
Sistema,Sistema,3393742.34000,3252735.11000,3195677.71000,3196244.79000,3304057.65000,3547056.58000,3845249.79000,4149202.96000,4536550.33000,4719916.39000,4840133.45000,4920868.85000,4822709.93000,4534033.55000,4273477.96000,4135461.91000,4171851.34000,4395879.17000,5724533.80000,6051504.54000,5679376.50000,5073876.56000,4356516.81000,3781857.11000,2000-01-08
Sistema,Sistema,3328899.30000,3111981.54000,3048990.00000,3003070.05000,3039892.73000,3145023.60000,3233282.95000,3479432.88000,3835983.13000,3951040.88000,3981080.19000,4012422.58000,3985846.86000,3805012.55000,3574420.51000,3421365.59000,3444100.03000,3674309.94000,5066193.07000,5452455.41000,5194234.00000,4643036.26000,3995152.85000,3447595.48000,2000-01-09
Sistema,Sistema,3046858.87000,2920141.42000,2831404.97000,2788870.43000,2865260.18000,3059066.35000,3163701.17000,3440330.29000,3812122.26000,4013352.62000,4150287.32000,4232863.76000,4178410.63000,3975887.79000,3721929.97000,3617764.04000,3675432.80000,4096469.46000,5572359.21000,5881835.92000,5471127.57000,4817454.73000,3991008.02000,3408956.61000,2000-01-10
