year,precio_promedio,precio_max,precio_min
2000,44.7412387546734,96.13793,21.53117
2001,52.700019066606934,118.07276,24.82288
2002,48.76678594070021,138.54749,26.77768
2003,66.77875928640766,148.0036,37.01344
2004,64.18432851393523,189.90277,32.253
2005,74.28515984116315,186.74894,27.58141
2006,73.79612274172213,281.2308,26.7148
2007,83.87909130712366,154.6995,30.17382
2008,87.9315974588805,438.84313,29.19914
2009,139.1207350574543,321.27021,32.8925
2010,129.19777699118876,360.64472,32.02496
2011,75.32443707907706,403.70595,33.2911
2012,115.88295349224961,307.6061,34.9881
2013,177.43053213756613,451.39467,40.41535
2014,225.09544181941246,480.53779,38.94195
2015,376.5629885833653,2821.52055,46.7915
2016,300.6352703782907,884.83666,61.10099
2017,106.49321713257382,383.45367,60.3121
2018,116.25291577950588,555.11901,61.45854
2019,228.66590985999105,910.4733,69.94693
2020,251.7569759748692,745.50467,71.33575
2021,150.6757363641833,592.91275,81.75681
2022,216.79592679307476,1035.13068,89.05597
2023,557.8032590346583,1595.68608,99.41605
2024,676.158050029467,2675.64965,95.85161
2025,241.6632833441226,1047.89629,103.68361
