year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2000,1,36.778781935483885,61.28479,32.28479,27363.413760000007,31
2000,2,40.26147482758622,60.79988,23.06088,28021.986480000014,29
2000,3,37.6373003763441,75.14417,21.53117,28002.151480000015,31
2000,4,44.29805444444445,76.33441,23.57841,31894.599200000008,30
2000,5,37.29112284946237,76.3211,23.1041,27744.5954,31
2000,6,39.993197763888865,81.01137,24.31837,28795.10238999999,30
2000,7,42.80114580645159,86.29667,24.35467,31844.052479999988,31
2000,8,49.070174247311826,91.48556,24.45056,36508.20964,31
2000,9,59.53525166666665,93.94886,24.94786,42865.38119999999,30
2000,10,48.42078424731183,95.16967,24.17067,36025.063480000004,31
2000,11,45.39779070833333,95.58087,26.19787,32686.40931,30
2000,12,55.409786182795706,96.13793,26.66293,41224.88092,31
2001,1,70.60665451612901,112.08759,26.92359,52531.35095999999,31
2001,2,86.04176000000002,118.07276,30.26476,57820.06272000001,28
2001,3,70.62400677419357,115.87291,36.37291,52544.26104000002,31
2001,4,67.1412447222222,100.82351,48.82351,48341.69619999998,30
2001,5,50.005435161290336,84.31804,26.19504,37204.04376000001,31
2001,6,43.025275000000015,99.75115,30.25115,30978.198000000015,30
2001,7,39.871716881720445,99.34419,29.84319,29664.55736000001,31
2001,8,38.96622811827956,74.58188,24.82288,28990.873719999992,31
2001,9,45.30852916666666,74.6082,32.9572,32622.141,30
2001,10,46.79236940860214,88.71536,25.54736,34813.52284,31
2001,11,38.96203555555556,70.86613,24.97813,28052.665600000004,30
2001,12,35.05497349462367,59.51737,28.51737,26080.90028000001,31
2002,1,38.709919838709695,73.44144,28.84244,28800.180360000013,31
2002,2,56.64558720238095,120.55505,40.55505,38065.8346,28
2002,3,52.86998596774192,138.54749,30.86549,39335.269559999986,31
2002,4,48.445139722222244,102.58068,26.77768,34880.500600000014,30
2002,5,39.42041021505376,72.18355,27.18355,29328.78519999999,31
2002,6,35.13288777777778,73.75566,28.96166,25295.679200000002,30
2002,7,42.15307365591398,75.37995,35.57995,31361.886800000004,31
2002,8,45.406010483870965,66.20195,42.11195,33782.0718,31
2002,9,49.05839305555557,70.3363,43.8363,35322.043000000005,30
2002,10,60.21958811827957,67.17799,48.07799,44803.37356,31
2002,11,53.04030277777779,82.0019,45.6019,38189.018000000004,30
2002,12,64.10013247311831,73.05149,55.85149,47690.498560000015,31
2003,1,69.11900080645161,77.78865,57.78765,51424.53659999999,31
2003,2,71.96138494047618,81.25544,37.01344,48358.05067999999,28
2003,3,76.83774978494621,126.14936,66.04936,57167.28583999998,31
2003,4,80.11864722222224,148.0036,64.0056,57685.42600000001,30
2003,5,69.47551155913978,90.8499,45.3499,51689.7806,31
2003,6,64.70255361111113,89.62353,49.62353,46585.83860000001,30
2003,7,69.925153172043,86.20609,61.80609,52024.313959999985,31
2003,8,65.20440784946234,132.92201,48.83801,48512.07943999998,31
2003,9,62.49290083333332,127.32778,49.31578,44994.88859999999,30
2003,10,55.494084784946224,90.43232,46.93232,41287.59907999999,31
2003,11,63.667324722222226,125.21249,54.09649,45840.4738,30
2003,12,52.34639215053763,70.70229,39.15229,38945.71576,31
2004,1,58.87687967741937,74.39192,39.40192,43804.39848000001,31
2004,2,70.40081775862066,87.28696,34.65496,48998.969159999986,29
2004,3,73.14546774193548,125.87,32.253,54420.227999999996,31
2004,4,70.65451499999999,125.79784,33.66484,50871.250799999994,30
2004,5,72.1258102688172,151.04761,33.70361,53661.60284000001,31
