Values_code,max_hourly_kW,total_gen_kWh,days_active,capacidad_MW,gen_anual_GWh,factor_planta,Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
2QBW,20134.19,136588857.3,366,20.13419,136.5888573,0.7744207891263158,2QBW,EL POPAL,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2014-03-31,OPERACION
2QEK,35859.42,48402633.84,95,35.85942,48.40263384000001,0.15408544873056534,2QEK,SALTO II,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,ENDG,AGUA,2014-06-25,OPERACION
2QRL,666.48,5249275.35,366,0.6664800000000001,5.24927535,0.8991002669103513,2QRL,LA REBUSCA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,HZEG,AGUA,2014-07-24,OPERACION
2QV2,19140.94,57579980.61,358,19.140939999999997,57.57998061,0.34340304850546916,2QV2,BAJO TULUA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2015-01-30,OPERACION
2R22,19003.21,54866217.11,171,19.00321,54.86621711,0.32958993735158404,2R22,LAGUNETA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,2014-12-17,OPERACION
2S6Q,1049.4,629335.2,356,1.0494,0.6293352,0.06845999409969428,2S6Q,AUTOG YAGUARITO 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EMSG,BIOGAS,2016-03-22,OPERACION
2S6S,12350.4,31989667.2,335,12.3504,31.9896672,0.2956817992251818,2S6S,AUTOG ARGOS YUMBO 1,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,DEPG,CARBON,2016-03-20,OPERACION
2S6U,6914.49,53187688.65,365,6.91449,53.18768865,0.8781058263848023,2S6U,AUTOG ARGOS EL CAIRO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,SOCG,AGUA,2017-09-29,OPERACION
2S78,476.12,1602556.09,314,0.47612,1.60255609,0.38423127136514834,2S78,LA FRISOLERA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,SGMG,AGUA,2016-04-29,OPERACION
2S8G,7399.34,1461534.7,221,7.3993400000000005,1.4615346999999999,0.022548208452455705,2S8G,AUTOG ARGOS TOLUVIEJO,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,CARBON,2016-03-03,PRUEBAS
2S8I,13920.0,47687360.0,365,13.92,47.68736,0.39107489634178344,2S8I,AUTOG REFICAR 1,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GECG,GAS,2016-04-26,OPERACION
2S8N,10471.28,50552954.16,341,10.47128,50.55295416,0.5511155444303076,2S8N,GUAVIO MENOR,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,2016-04-27,OPERACION
