year,month,monthly_avg,monthly_max,monthly_min,monthly_sum,days
2000,1,4473138.999274193,6835969.93,2569627.85,3328015415.46,31
2000,2,4681597.881867816,6906329.91,2897688.68,3258392125.78,29
2000,3,4667071.932392473,6962773.91,2954564.87,3472301517.7,31
2000,4,4567211.334555555,6889865.34,2714387.22,3288392160.88,30
2000,5,4688689.011317204,6935789.76,2915546.12,3488384624.42,31
2000,6,4671274.926777778,6859696.32,2946671.18,3363317947.2799997,30
2000,7,4642317.522231183,6921653.37,2970978.15,3453884236.54,31
2000,8,4699283.403293011,6922288.07,2915291.24,3496266852.05,31
2000,9,4779360.138472223,7004625.43,3059649.48,3441139299.7,30
2000,10,4772947.647849463,7067365.95,3083327.26,3551073050.0,31
2000,11,4866524.433125,7230254.01,3122453.23,3503897591.85,30
2000,12,4883106.467311828,7518494.25,3154737.24,3633031211.68,31
2001,1,4702966.39264785,7147533.52,2974935.62,3499006996.13,31
2001,2,4901323.150565476,7149936.17,3164980.66,3293689157.18,28
2001,3,4908189.996693549,7193492.65,3160503.11,3651693357.54,31
2001,4,4839953.7045,7224218.94,3007307.0,3484766667.2400002,30
2001,5,4903025.376276881,7167453.17,3158143.36,3647850879.95,31
2001,6,4785241.379097222,7047461.21,3075566.59,3445373792.95,30
2001,7,4838107.863629033,7094315.55,3223156.69,3599552250.54,31
2001,8,5007964.051021506,7224726.56,3337759.64,3725925253.96,31
2001,9,4984408.782402778,7229253.6,3336976.71,3588774323.33,30
2001,10,5019070.872392473,7258028.81,3279331.31,3734188729.06,31
2001,11,5002667.0442361105,7361445.49,3310635.62,3601920271.85,30
2001,12,5073899.388534945,7686077.45,3316180.88,3774981145.07,31
2002,1,4935897.547298388,7250669.06,3218734.37,3672307775.19,31
2002,2,5188551.832336309,7413109.67,3498350.66,3486706831.3300004,28
2002,3,4957440.771545699,7350742.41,1335884.57,3688335934.0299997,31
2002,4,5070820.594958333,7299263.86,3395192.54,3650990828.37,30
2002,5,5084678.670779569,7414090.65,3227670.03,3783000931.06,31
2002,6,4987576.364958333,7273626.39,3299944.06,3591054982.77,30
2002,7,5057235.68030914,7300643.79,3425511.82,3762583346.15,31
2002,8,5147728.290416666,7356966.17,3570252.33,3829909848.07,31
2002,9,5219635.347208333,7405393.06,3565251.93,3758137449.99,30
2002,10,5204722.948064516,7384055.58,3422681.83,3872313873.36,31
2002,11,5196294.962222222,7581085.85,3416264.3,3741332372.8,30
2002,12,5239856.593561828,7918076.73,3433812.11,3898453305.61,31
2003,1,5116063.688131721,7475397.95,3302802.13,3806351383.97,31
2003,2,5259499.293377976,7455283.46,3577832.49,3534383525.15,28
2003,3,5403394.5910752695,7707065.97,3638905.14,4020125575.76,31
2003,4,5267055.744666667,7729740.21,3405019.67,3792280136.1600003,30
2003,5,5214859.384973118,7608867.72,3530796.15,3879855382.42,31
2003,6,5144965.479625,7556127.82,3394960.2,3704375145.33,30
2003,7,5311962.146666667,7606537.87,3442556.69,3952099837.1200004,31
2003,8,5342814.022970431,7592677.29,3448344.3,3975053633.09,31
2003,9,5491151.802111111,7615880.34,3761516.54,3953629297.52,30
2003,10,5474723.687741935,7711947.79,3738359.73,4073194423.68,31
2003,11,5495996.219666666,7840487.7,3727280.5,3957117278.16,30
2003,12,5491573.247110215,8168845.19,3437682.37,4085730495.85,31
2004,1,5342994.278884409,7662202.42,3470630.28,3975187743.4900002,31
2004,2,5596649.771494253,7807718.62,4002076.98,3895268240.96,29
2004,3,5608955.720564516,7895396.71,3876212.31,4173063056.1,31
2004,4,5472430.74026389,7761080.3,3729492.95,3940150132.99,30
2004,5,5460612.109327958,7812161.72,3678904.24,4062695409.34,31
2004,6,5385787.370597223,7767131.99,3561502.29,3877766906.83,30
2004,7,5427710.2054838715,7719508.72,3578685.85,4038216392.88,31
2004,8,5556451.353870967,7870085.72,3682004.89,4133999807.2799997,31
2004,9,5568884.789694444,7765018.25,3613102.11,4009597048.58,30
2004,10,5572507.323306452,7875701.33,3837590.67,4145945448.54,31
2004,11,5657176.2863472225,8009056.78,3768515.71,4073166926.17,30
2004,12,5694584.454018818,8387130.04,3851822.87,4236770833.7900004,31
2005,1,5526235.908655914,7865897.17,3641245.79,4111519516.04,31
2005,2,5708114.5725,7957328.47,3807610.02,3835852992.7200003,28
2005,3,5623387.35142473,8094635.01,3771171.64,4183800189.46,31
2005,4,5753376.753847223,8018319.95,3883567.05,4142431262.77,30
2005,5,5699449.779959678,8021099.06,3890167.05,4240390636.29,31
2005,6,5713138.250958334,7989091.66,3600181.27,4113459540.69,30
2005,7,5701959.173938172,7968383.23,3993928.85,4242257625.41,31
2005,8,5857020.973212365,8042079.12,4091410.46,4357623604.07,31
2005,9,5920873.484013889,8088482.56,4237513.96,4263028908.49,30
2005,10,5814662.262419354,8172968.18,4072748.19,4326108723.24,31
2005,11,5893187.8573888885,8273634.57,4017843.76,4243095257.3199997,30
2005,12,5873912.528938171,8468759.09,3673610.44,4370190921.53,31
2006,1,5716017.6843010755,8205990.29,3466329.78,4252717157.1200004,31
2006,2,5984207.223839285,8193824.57,3988160.39,4021387254.4199996,28
